summoners,result,time,champion,d_spell,f_spell,kill,deths,assist,level,kill_part,cs,ward,kda
Rio Kairos,0,1311,Lee Sin,Smite,Flash,3,7,6,11,56,94,7,1.3
Rio Kairos,0,963,Lee Sin,Smite,Flash,5,8,1,8,46,73,6,0.8
Rio Kairos,1,1697,Lee Sin,Smite,Flash,9,3,10,15,58,174,8,6.3
Rio Kairos,1,2011,Lee Sin,Smite,Flash,14,5,12,16,68,172,10,5.2
Rio Kairos,1,941,Lee Sin,Smite,Flash,2,1,3,10,38,109,4,5.0
Rio Kairos,1,940,Graves,Smite,Flash,4,1,4,10,47,91,4,8.0
Rio Kairos,1,1496,Lee Sin,Smite,Flash,9,7,7,13,53,123,11,2.3
Rio Kairos,1,1620,Volibear,Smite,Flash,5,4,11,15,57,144,9,4.0
Rio Kairos,1,919,Rek'Sai,Smite,Flash,14,2,4,11,56,82,5,9.0
Rio Kairos,1,1503,Lee Sin,Smite,Flash,11,4,4,14,48,140,8,3.8
Rio Kairos,0,915,Lee Sin,Smite,Flash,5,6,2,8,78,70,7,1.2
Rio Kairos,0,1638,Taliyah,Smite,Flash,5,9,13,14,62,140,11,2.0
Rio Kairos,0,1556,Volibear,Smite,Flash,5,8,11,13,70,107,7,2.0
Rio Kairos,1,2035,Volibear,Smite,Flash,10,5,16,18,60,173,11,5.2
Rio Kairos,0,1478,Lee Sin,Smite,Flash,8,7,8,13,55,103,8,2.3
Tar2an,1,2296,Nidalee,Smite,Flash,16,3,10,18,76,311,3,8.7
Tar2an,1,1721,Rengar,Smite,Flash,9,8,12,16,50,170,3,2.6
Tar2an,1,1276,Viego,Smite,Flash,7,3,4,12,33,145,11,3.7
Tar2an,0,1139,Taliyah,Smite,Flash,3,8,4,10,58,103,3,0.9
Tar2an,1,1731,Kayn,Smite,Flash,8,1,13,17,66,231,3,21.0
Tar2an,0,1519,Talon,Smite,Flash,4,5,6,13,59,161,5,2.0
Tar2an,1,1685,Nidalee,Smite,Flash,13,0,9,17,54,233,2,26.4
Tar2an,1,928,Kindred,Smite,Flash,5,0,2,11,64,117,5,8.4
Tar2an,1,1225,Nidalee,Smite,Flash,7,2,7,13,48,153,4,7.0
Tar2an,1,956,Nidalee,Smite,Flash,1,1,7,10,47,110,2,8.0
Tar2an,0,1569,Graves,Smite,Flash,11,5,8,14,68,175,2,3.8
Tar2an,0,999,Jayce,Teleport,Flash,0,7,3,10,38,111,0,0.4
Tar2an,1,1748,Nidalee,Smite,Flash,12,1,7,17,58,225,7,19.0
Tar2an,1,1651,Wukong,Smite,Flash,10,6,14,15,56,153,6,4.0
Tar2an,1,1929,Kayn,Smite,Flash,11,5,9,17,36,218,3,4.0
Tar2an,1,2143,Talon,Smite,Flash,7,7,10,17,47,226,6,2.4
Tar2an,1,1112,Diana,Smite,Flash,10,2,6,13,67,148,4,8.0
Tar2an,0,1497,Kindred,Smite,Flash,3,5,1,13,44,163,4,0.8
Tar2an,0,1173,Viego,Smite,Flash,7,4,2,11,82,115,4,2.2
1987456144Q,0,2287,Sylas,Teleport,Flash,5,10,4,17,30,230,1,0.9
1987456144Q,1,933,Akshan,Ignite,Flash,5,1,1,11,26,116,2,6.0
1987456144Q,1,2127,Fiora,Teleport,Flash,5,9,4,18,26,248,5,1.0
1987456144Q,1,1272,Lillia,Teleport,Flash,3,3,2,13,23,166,3,1.7
1987456144Q,0,1250,Camille,Ignite,Flash,5,9,4,13,50,133,1,1.0
1987456144Q,0,1612,Gragas,Teleport,Flash,2,6,6,14,35,172,2,1.3
1987456144Q,0,1368,Lee Sin,Teleport,Flash,4,10,1,12,36,153,3,0.5
1987456144Q,0,1415,Gangplank,Teleport,Flash,4,8,3,13,58,174,3,0.9
1987456144Q,0,1669,Graves,Teleport,Flash,5,8,3,15,28,217,1,1.0
1987456144Q,0,1481,Jax,Teleport,Flash,5,10,3,14,38,163,1,0.8
1987456144Q,0,1333,Fiora,Teleport,Flash,6,7,2,14,57,164,3,1.1
1987456144Q,0,1015,Graves,Ignite,Flash,0,7,0,10,0,111,0,0.0
1987456144Q,1,1647,Ashe,Heal,Flash,3,10,18,15,60,147,2,2.1
1987456144Q,0,1936,Viktor,Teleport,Flash,4,11,3,15,37,219,4,0.6
1987456144Q,1,2052,Viktor,Teleport,Flash,4,11,12,17,40,234,3,1.5
1987456144Q,0,1259,Graves,Ghost,Flash,3,2,2,14,25,202,0,2.5
1987456144Q,0,1280,Gangplank,Teleport,Flash,8,3,1,14,75,194,5,3.0
1987456144Q,1,1121,Jax,Teleport,Flash,1,3,6,12,30,121,0,2.3
1987456144Q,1,1599,Graves,Teleport,Flash,7,9,6,15,29,225,3,1.4
1987456144Q,1,1227,Gangplank,Teleport,Flash,2,5,9,13,33,155,2,2.2
zztaibaba,0,1195,Varus,Exhaust,Flash,16,13,20,18,55,41,0,2.8
zztaibaba,0,933,Jhin,Heal,Flash,2,2,1,8,60,102,1,1.5
zztaibaba,0,2127,Nautilus,Ignite,Flash,1,7,17,14,53,46,18,2.6
zztaibaba,0,1272,Renata Glasc,Ignite,Flash,2,4,5,9,64,19,11,1.8
zztaibaba,0,1600,Karma,Ignite,Flash,2,4,15,13,74,36,13,4.2
zztaibaba,0,1278,Nautilus,Ignite,Flash,2,6,6,10,73,30,11,1.3
zztaibaba,0,1872,Nautilus,Ignite,Flash,5,8,17,13,69,28,19,2.8
zztaibaba,0,1471,Nautilus,Ignite,Flash,1,5,9,11,56,28,12,2.0
zztaibaba,1,1646,Rakan,Ignite,Flash,6,6,25,14,72,15,12,5.2
zztaibaba,0,923,Nautilus,Ignite,Flash,1,8,2,7,50,13,6,0.4
zztaibaba,1,1380,Nami,Ignite,Flash,4,1,20,12,75,14,8,24.0
zztaibaba,1,1687,Nautilus,Ignite,Flash,2,4,20,14,54,30,10,5.5
zztaibaba,0,1291,Renata Glasc,Ignite,Flash,1,4,8,10,47,17,7,2.2
zztaibaba,1,1222,Rakan,Ignite,Flash,2,3,18,11,57,7,9,6.7
zztaibaba,1,1101,Bard,Exhaust,Flash,5,4,37,18,79,32,0,10.5
zztaibaba,1,1413,Nautilus,Ignite,Flash,2,3,11,11,59,27,15,4.3
zztaibaba,1,1233,Rakan,Ignite,Flash,0,1,18,11,56,17,6,18.0
zztaibaba,0,1292,Gragas,Teleport,Flash,1,7,2,11,19,97,1,0.4
Kingen,1,1363,Kennen,Teleport,Flash,3,5,2,13,19,181,4,1.0
Kingen,1,1360,Jax,Teleport,Flash,12,3,4,14,46,156,3,5.3
Kingen,1,947,Kennen,Teleport,Flash,4,1,5,11,41,121,2,9.0
Kingen,0,1139,Veigar,Teleport,Flash,2,7,3,11,42,126,2,0.7
Kingen,0,1542,Nidalee,Smite,Flash,5,9,7,12,60,133,4,1.3
Kingen,1,1556,Graves,Teleport,Flash,4,4,13,16,44,226,4,4.2
Kingen,1,1167,Akali,Ignite,Teleport,8,1,0,14,40,182,2,8.0
Kingen,1,1550,Sylas,Teleport,Flash,4,4,10,14,61,166,5,3.5
Kingen,0,1481,Viktor,Teleport,Flash,4,5,3,14,33,225,4,1.4
Kingen,0,1105,Lee Sin,Smite,Flash,5,4,2,10,78,92,4,1.8
Kingen,1,1733,Irelia,Teleport,Flash,19,5,7,17,58,254,3,5.2
Kingen,0,1504,Gangplank,Teleport,Flash,8,7,2,14,63,180,1,1.4
Kingen,0,1934,Graves,Teleport,Flash,5,9,9,17,31,275,3,1.6
Kingen,1,1220,Kennen,Teleport,Flash,6,1,6,13,46,159,4,12.0
Kingen,1,1979,Kennen,Teleport,Flash,14,7,7,18,42,210,4,3.0
Kingen,1,957,Jax,Ignite,Flash,2,4,1,10,21,92,4,0.8
Kingen,1,923,Kennen,Teleport,Flash,2,3,1,10,18,113,3,1.0
Kingen,1,2202,Lee Sin,Teleport,Flash,8,8,14,18,56,269,12,2.8
Kingen,0,2037,Viego,Smite,Flash,12,6,6,16,49,152,13,3.0
Kingen,1,1274,Graves,Teleport,Flash,3,4,4,13,26,159,2,1.8
뿌엥뿌엔,0,1721,LeBlanc,Teleport,Flash,15,8,9,16,69,221,3,3.0
뿌엥뿌엔,1,1443,Ahri,Teleport,Flash,6,5,5,15,38,203,2,2.2
뿌엥뿌엔,1,1489,Sylas,Teleport,Flash,12,2,9,16,58,221,1,10.5
뿌엥뿌엔,0,2052,Ahri,Ignite,Flash,9,5,15,18,73,300,2,4.8
뿌엥뿌엔,1,982,Tahm Kench,Ghost,Flash,8,8,19,16,71,25,0,3.4
뿌엥뿌엔,1,1244,Twisted Fate,Teleport,Flash,3,3,5,13,38,168,3,2.7
뿌엥뿌엔,0,957,Twisted Fate,Ghost,Flash,2,8,13,14,68,37,0,1.9
뿌엥뿌엔,1,1477,Twisted Fate,Teleport,Flash,6,4,3,14,43,199,3,2.2
뿌엥뿌엔,1,1483,Ahri,Teleport,Flash,6,3,6,15,40,212,3,4.0
뿌엥뿌엔,1,1381,Xayah,Heal,Flash,6,4,8,12,56,208,6,3.5
뿌엥뿌엔,1,913,Sylas,Ignite,Flash,14,1,1,12,60,137,2,15.0
뿌엥뿌엔,0,980,Akshan,Ignite,Flash,3,5,1,11,40,125,1,0.8
뿌엥뿌엔,0,1561,Akshan,Ignite,Flash,6,9,4,14,38,190,2,1.1
뿌엥뿌엔,1,1171,Lucian,Teleport,Flash,3,1,8,13,44,185,3,11.0
뿌엥뿌엔,1,1749,Sylas,Teleport,Flash,2,5,4,15,24,239,4,1.2
뿌엥뿌엔,1,1409,LeBlanc,Teleport,Flash,10,1,6,15,50,227,2,16.0
뿌엥뿌엔,0,1843,Kennen,Ignite,Flash,13,2,4,16,57,238,2,8.5
인프피미드라이너,0,1443,Miss Fortune,Heal,Flash,5,8,4,13,50,184,6,1.1
인프피미드라이너,1,1139,Ahri,Teleport,Flash,8,1,7,14,47,176,5,15.0
인프피미드라이너,0,1553,Vex,Ignite,Flash,5,5,5,14,56,204,1,2.0
인프피미드라이너,1,990,Ahri,Ignite,Flash,3,1,10,12,81,138,2,13.0
인프피미드라이너,1,1328,Lucian,Exhaust,Flash,6,4,8,15,47,157,5,3.5
인프피미드라이너,1,915,Miss Fortune,Heal,Flash,2,3,11,9,48,92,2,4.3
인프피미드라이너,1,1638,Irelia,Ignite,Flash,7,11,5,16,32,207,6,1.1
인프피미드라이너,0,1446,Sylas,Ignite,Flash,7,7,2,13,36,165,5,1.3
인프피미드라이너,0,1168,Orianna,Teleport,Flash,4,6,2,12,60,151,4,1.0
인프피미드라이너,1,2240,Veigar,Teleport,Flash,19,5,11,18,56,286,3,6.0
인프피미드라이너,1,932,Katarina,Ignite,Flash,8,0,4,11,41,106,3,14.4
인프피미드라이너,1,1948,Ahri,Ignite,Flash,15,7,10,17,53,224,4,3.6
인프피미드라이너,1,1940,Pyke,Ignite,Flash,10,11,15,14,53,50,15,2.3
인프피미드라이너,1,1860,Zoe,Ignite,Flash,3,3,18,18,54,238,3,7.0
인프피미드라이너,1,1534,Ahri,Ignite,Flash,10,4,11,15,68,147,1,5.2
인프피미드라이너,0,1535,Kai'Sa,Teleport,Flash,7,6,3,14,50,195,4,1.7
인프피미드라이너,1,997,Irelia,Cleanse,Flash,8,3,2,12,33,139,3,3.3
인프피미드라이너,1,1301,Ahri,Ignite,Flash,13,2,7,14,63,181,4,10.0
인프피미드라이너,1,1778,Irelia,Ignite,Flash,10,8,11,17,48,234,8,2.6
인프피미드라이너,1,1558,Zoe,Ignite,Flash,1,4,10,15,35,200,8,2.8
cesuna,0,1972,Kayn,Smite,Flash,5,5,1,16,29,261,2,1.2
cesuna,1,1328,Karthus,Smite,Exhaust,5,1,9,15,47,221,3,14.0
cesuna,1,1395,Jhin,Heal,Flash,4,3,12,13,48,178,2,5.3
cesuna,1,1333,Jhin,Heal,Flash,5,3,9,13,40,164,3,4.7
cesuna,1,1733,Jhin,Heal,Flash,7,4,16,15,51,200,1,5.8
cesuna,0,1504,Varus,Heal,Flash,3,6,5,12,50,190,2,1.3
cesuna,0,1631,Viego,Smite,Flash,8,7,5,14,54,171,8,1.9
cesuna,1,1587,Talon,Smite,Flash,5,7,13,16,50,193,7,2.6
cesuna,0,948,Diana,Smite,Flash,3,4,2,10,50,104,4,1.2
cesuna,0,987,Talon,Smite,Flash,7,5,3,10,67,104,2,2.0
cesuna,1,1545,Talon,Smite,Flash,12,4,5,16,50,211,3,4.2
cesuna,1,1820,Karthus,Smite,Flash,12,7,13,16,64,207,6,3.6
cesuna,1,929,Viego,Smite,Flash,16,0,3,11,73,99,8,22.8
cesuna,0,1822,Talon,Smite,Flash,11,7,2,15,76,169,4,1.9
cesuna,1,1443,Jhin,Heal,Flash,4,2,10,13,70,167,2,7.0
cesuna,1,1264,Kha'Zix,Smite,Flash,7,0,4,13,55,153,4,13.2
cesuna,0,918,Talon,Smite,Flash,2,3,0,10,40,95,1,0.7
cesuna,1,1259,Viego,Smite,Flash,5,5,11,12,73,130,10,3.2
cesuna,0,1940,Kayn,Smite,Flash,16,6,4,17,57,270,3,3.3
cesuna,1,1860,Kayn,Smite,Flash,16,9,5,17,54,188,3,2.3
vlrhsgody,0,2011,Blitzcrank,Flash,Ignite,0,12,9,12,38,33,14,0.8
vlrhsgody,1,941,Senna,Flash,Barrier,5,0,4,9,69,20,5,10.8
vlrhsgody,0,940,Renata Glasc,Flash,Ignite,0,5,0,7,0,10,4,0.0
vlrhsgody,0,1449,Yuumi,Exhaust,Ignite,1,6,11,12,75,5,6,2.0
vlrhsgody,1,1328,Pyke,Flash,Ignite,3,2,12,12,50,49,4,7.5
vlrhsgody,0,1869,Karma,Flash,Ignite,1,7,7,11,53,20,13,1.1
vlrhsgody,0,1145,Rell,Flash,Ignite,0,6,7,8,100,30,7,1.2
vlrhsgody,0,1508,Rell,Flash,Ignite,0,11,9,10,75,36,6,0.8
vlrhsgody,1,917,Karma,Flash,Ignite,3,3,17,9,69,4,6,6.7
vlrhsgody,1,1919,Renata Glasc,Flash,Ignite,2,7,25,13,57,20,15,3.9
vlrhsgody,1,1381,Renata Glasc,Flash,Ignite,1,6,15,11,36,11,10,2.7
vlrhsgody,1,1406,Karma,Flash,Ignite,4,5,14,11,55,14,8,3.6
vlrhsgody,1,1566,Renata Glasc,Flash,Ignite,4,4,14,13,56,42,11,4.5
vlrhsgody,1,803,Jayce,Flash,Cleanse,10,4,15,13,93,64,0,6.2
vlrhsgody,1,1445,Lulu,Flash,Ignite,4,3,17,13,72,18,8,7.0
vlrhsgody,1,1811,Karma,Flash,Ignite,4,3,30,14,83,31,11,11.3
vlrhsgody,0,1567,Rell,Flash,Ignite,2,8,8,11,42,38,13,1.2
vlrhsgody,1,1388,Nautilus,Flash,Ignite,0,4,16,11,53,28,6,4.0
vlrhsgody,1,1264,Renata Glasc,Flash,Ignite,4,3,18,11,65,17,7,7.3
vlrhsgody,1,1884,Renata Glasc,Flash,Ignite,2,4,26,15,80,48,16,7.0
doggggggggggg,1,2296,Yone,Ignite,Flash,4,8,7,17,32,243,9,1.4
doggggggggggg,1,1972,Rakan,Ignite,Flash,0,4,12,13,44,56,15,3.0
doggggggggggg,1,1449,Yone,Ignite,Flash,12,2,11,16,70,208,4,11.5
doggggggggggg,1,1196,Yone,Ignite,Flash,8,6,8,12,44,132,3,2.7
doggggggggggg,1,919,Ezreal,Cleanse,Flash,5,2,8,10,41,122,3,6.5
doggggggggggg,1,1328,Veigar,Teleport,Flash,2,4,8,12,38,158,2,2.5
doggggggggggg,1,966,Vex,Ignite,Flash,9,0,2,11,46,118,2,13.2
doggggggggggg,1,1586,Yone,Teleport,Flash,13,1,7,15,59,230,5,20.0
doggggggggggg,1,1193,Veigar,Teleport,Flash,7,2,5,13,46,176,6,6.0
doggggggggggg,1,1476,Viktor,Teleport,Flash,5,2,11,15,42,170,3,8.0
doggggggggggg,0,1360,Yone,Exhaust,Flash,5,4,3,14,53,195,3,2.0
doggggggggggg,1,913,Seraphine,Ignite,Flash,0,4,7,8,47,17,5,1.8
doggggggggggg,1,2014,Yone,Ignite,Flash,11,3,11,18,59,296,3,7.3
doggggggggggg,0,931,Syndra,Teleport,Flash,7,2,2,11,64,129,1,4.5
doggggggggggg,0,1769,LeBlanc,Ignite,Flash,7,5,12,14,73,147,5,3.8
doggggggggggg,1,922,Yasuo,Ignite,Flash,4,2,1,11,38,119,3,2.5
doggggggggggg,0,1332,Yone,Exhaust,Flash,1,4,5,13,38,170,5,1.5
doggggggggggg,0,2219,Yone,Ignite,Flash,5,8,7,18,36,303,7,1.5
doggggggggggg,1,1514,Yone,Teleport,Flash,3,3,1,15,13,238,3,1.3
doggggggggggg,1,1631,Yone,Ignite,Flash,4,4,12,14,52,159,4,4.0
BRO Hena,1,941,Heimerdinger,Ignite,Flash,0,1,1,11,8,127,2,1.0
BRO Hena,0,1354,Xin Zhao,Smite,Flash,5,7,6,13,58,142,7,1.6
BRO Hena,1,1403,Twitch,Heal,Flash,10,5,7,14,45,164,1,3.4
BRO Hena,1,1465,Yasuo,Ignite,Flash,6,9,6,15,41,199,5,1.3
BRO Hena,0,1272,Jinx,Heal,Flash,2,3,3,12,45,191,2,1.7
BRO Hena,1,1250,Yasuo,Ignite,Flash,13,4,6,15,49,183,3,4.8
BRO Hena,0,1783,Aphelios,Heal,Flash,8,6,5,14,52,237,4,2.2
BRO Hena,0,1556,Kalista,Cleanse,Flash,10,8,6,13,70,213,3,2.0
BRO Hena,0,1669,Aphelios,Heal,Flash,5,6,5,15,34,224,4,1.7
BRO Hena,0,1481,Jinx,Heal,Flash,3,8,5,12,38,162,3,1.0
BRO Hena,0,1328,Xayah,Heal,Flash,2,2,4,11,67,178,4,3.0
BRO Hena,0,1318,Miss Fortune,Cleanse,Flash,1,4,0,11,10,208,3,0.2
BRO Hena,0,1377,Senna,Heal,Flash,2,8,6,11,73,19,5,1.0
BRO Hena,1,922,Aphelios,Heal,Flash,2,0,2,9,31,143,1,4.8
BRO Hena,0,995,Xayah,Cleanse,Flash,2,4,3,10,42,113,4,1.2
BRO Hena,1,1453,Senna,Heal,Flash,5,4,14,14,73,166,1,4.8
BRO Hena,0,1587,Jinx,Heal,Flash,0,11,9,12,32,186,4,0.8
BRO Hena,1,919,Jinx,Heal,Flash,2,2,2,9,20,127,1,2.0
BRO Hena,1,1193,Senna,Heal,Flash,5,3,16,12,75,35,2,7.0
BRO Hena,0,1508,Aphelios,Heal,Flash,8,6,5,14,43,228,7,2.2
채팅치지않기0725,1,1629,Talon,Flash,Smite,19,4,11,17,60,203,6,7.5
채팅치지않기0725,0,2127,Graves,Flash,Smite,14,6,9,17,68,240,9,3.8
채팅치지않기0725,0,1600,Poppy,Flash,Teleport,4,3,2,15,26,205,6,2.0
채팅치지않기0725,0,1128,Aphelios,Flash,Exhaust,10,14,23,16,52,56,0,2.4
채팅치지않기0725,1,1167,Taliyah,Flash,Smite,4,3,10,12,70,140,7,4.7
채팅치지않기0725,0,1620,Taliyah,Flash,Smite,6,8,3,13,45,141,8,1.1
채팅치지않기0725,1,967,Lee Sin,Flash,Smite,4,0,1,11,29,110,3,6.0
채팅치지않기0725,0,2567,Taliyah,Flash,Smite,5,7,14,17,53,207,20,2.7
채팅치지않기0725,1,676,Kha'Zix,Flash,Mark,9,7,8,11,59,32,0,2.4
채팅치지않기0725,1,1315,Samira,Flash,Cleanse,12,16,23,18,59,42,0,2.2
채팅치지않기0725,1,648,Poppy,Flash,Smite,4,0,3,7,100,47,3,8.4
채팅치지않기0725,1,1215,Qiyana,Flash,Smite,3,3,4,11,54,128,5,2.3
채팅치지않기0725,0,918,Gnar,Flash,Mark,10,14,8,14,55,43,0,1.3
채팅치지않기0725,1,1412,Nidalee,Flash,Smite,7,0,7,13,56,159,6,16.8
채팅치지않기0725,1,2066,Qiyana,Flash,Smite,13,8,11,17,55,203,8,3.0
채팅치지않기0725,1,1947,Tryndamere,Flash,Ghost,6,6,10,17,47,229,4,2.7
채팅치지않기0725,1,1738,Nidalee,Flash,Smite,15,4,9,17,63,228,9,6.0
채팅치지않기0725,0,1382,Viego,Flash,Smite,3,9,4,11,39,103,16,0.8
채팅치지않기0725,0,1361,Nidalee,Flash,Smite,6,1,7,13,54,136,8,13.0
채팅치지않기0725,0,1216,Graves,Flash,Teleport,2,3,5,13,54,190,5,2.3
Nierland,0,1002,Pyke,Flash,Ignite,2,4,3,9,42,39,4,1.2
Nierland,1,1273,Pyke,Flash,Exhaust,7,4,11,11,69,36,7,4.5
Nierland,0,1361,Alistar,Flash,Ignite,0,7,9,10,75,27,9,1.3
Nierland,0,1324,Leona,Flash,Ignite,1,6,5,9,75,27,8,1.0
Nierland,1,911,Rakan,Flash,Ignite,4,0,9,10,62,41,4,15.6
Nierland,0,548,Ashe,Flash,Cleanse,1,7,11,10,71,23,0,1.7
Nierland,1,1407,Alistar,Flash,Ignite,1,3,4,10,50,29,9,1.7
Nierland,1,1137,Rell,Flash,Ignite,2,6,18,10,80,27,8,3.3
Nierland,1,938,Fizz,Flash,Mark,9,10,19,15,68,45,0,2.8
Nierland,0,1052,Veigar,Flash,Ghost,8,10,13,16,64,80,0,2.1
Nierland,1,1269,Veigar,Flash,Ghost,13,13,26,18,74,117,0,3.0
Nierland,1,1609,Shen,Flash,Exhaust,3,6,10,12,34,38,11,2.2
Nierland,1,1178,Camille,Flash,Ignite,5,1,7,10,39,33,4,12.0
Nierland,0,907,Jinx,Flash,Cleanse,3,12,20,13,64,41,0,1.9
Nierland,1,1337,Viego,Flash,Ignite,2,3,12,11,48,43,12,4.7
Nierland,1,1151,Nidalee,Flash,Exhaust,3,4,8,9,39,14,9,2.8
Nierland,0,1691,Leona,Flash,Ignite,0,7,11,13,58,53,11,1.6
Nierland,1,1327,Alistar,Flash,Ignite,5,6,12,12,55,28,9,2.8
Nierland,0,1214,Zilean,Flash,Exhaust,0,3,3,10,27,18,8,1.0
Nierland,1,1045,Kai'Sa,Flash,Cleanse,6,7,23,16,71,94,0,4.1
qweaszv,1,2208,Akali,Ignite,Flash,11,7,3,18,40,250,8,2.0
qweaszv,1,1546,Ahri,Teleport,Flash,9,2,11,16,80,224,5,10.0
qweaszv,0,940,Zoe,Ignite,Flash,2,5,0,10,33,110,3,0.4
qweaszv,0,1496,Veigar,Teleport,Flash,6,4,4,14,33,181,2,2.5
qweaszv,0,1403,Yone,Teleport,Flash,0,8,1,12,6,183,5,0.1
qweaszv,0,1465,Vex,Ignite,Flash,11,6,2,14,41,163,5,2.2
qweaszv,1,1272,Ahri,Teleport,Flash,5,2,4,13,41,177,5,4.5
qweaszv,1,915,Akshan,Ignite,Flash,8,3,4,11,44,120,3,4.0
qweaszv,0,1647,Vex,Ignite,Flash,7,5,2,15,45,232,4,1.8
qweaszv,1,1768,Akali,Teleport,Flash,12,4,5,16,57,241,10,4.2
qweaszv,0,1532,Zoe,Ignite,Flash,6,7,3,14,29,185,4,1.3
qweaszv,1,995,Ahri,Teleport,Flash,4,2,2,12,26,149,3,3.0
qweaszv,1,2179,LeBlanc,Teleport,Flash,12,11,12,18,56,244,6,2.2
qweaszv,0,1210,Vex,Ignite,Flash,4,5,3,12,64,144,4,1.4
qweaszv,0,1113,Nautilus,Ignite,Flash,2,4,8,9,71,38,6,2.5
qweaszv,1,915,Sylas,Teleport,Flash,3,4,3,10,32,102,4,1.5
qweaszv,0,2311,Ahri,Teleport,Flash,7,8,9,18,57,240,4,2.0
qweaszv,1,1128,Vex,Teleport,Flash,11,1,6,13,59,171,2,17.0
qweaszv,1,948,Ahri,Teleport,Flash,11,1,5,12,41,140,3,16.0
qweaszv,0,1865,Karthus,Smite,Exhaust,8,7,2,15,48,190,8,1.4
YeQiuFengXXX,0,1252,Morgana,Ignite,Flash,0,8,6,9,50,29,5,0.8
YeQiuFengXXX,1,1174,Sylas,Ghost,Flash,20,14,18,18,70,47,0,2.7
YeQiuFengXXX,1,1229,Jinx,Ghost,Flash,10,9,26,18,62,84,0,4.0
YeQiuFengXXX,1,1993,Qiyana,Ignite,Flash,3,12,10,14,29,161,6,1.1
YeQiuFengXXX,0,1200,Qiyana,Ignite,Flash,5,3,0,12,28,142,2,1.7
YeQiuFengXXX,1,1922,Qiyana,Ignite,Flash,10,5,9,16,41,164,3,3.8
YeQiuFengXXX,1,1450,Sylas,Teleport,Flash,5,3,12,14,49,166,3,5.7
YeQiuFengXXX,1,1007,Sylas,Ignite,Flash,4,1,6,11,50,96,3,10.0
YeQiuFengXXX,0,1138,Qiyana,Ignite,Flash,1,7,1,10,22,106,3,0.3
YeQiuFengXXX,1,1484,Qiyana,Ignite,Flash,7,7,9,13,39,121,6,2.3
YeQiuFengXXX,1,1474,Qiyana,Ignite,Flash,7,0,4,15,50,182,4,13.2
YeQiuFengXXX,1,1471,Qiyana,Ignite,Flash,5,5,11,14,50,158,5,3.2
YeQiuFengXXX,1,918,Qiyana,Ignite,Flash,8,1,2,12,50,125,4,10.0
YeQiuFengXXX,0,1149,Sylas,Teleport,Flash,3,10,1,10,67,93,2,0.4
YeQiuFengXXX,0,1774,Qiyana,Ignite,Flash,11,8,2,16,54,241,2,1.6
YeQiuFengXXX,1,1265,Qiyana,Ignite,Flash,8,2,4,13,32,125,3,6.0
YeQiuFengXXX,1,1405,Malphite,Teleport,Flash,2,3,6,12,30,113,5,2.7
YeQiuFengXXX,1,1502,Qiyana,Ignite,Flash,3,5,12,13,48,43,3,3.0
YeQiuFengXXX,1,1555,Qiyana,Ignite,Flash,11,6,9,16,54,184,8,3.3
듀얼아카데미입학,0,2296,Poppy,Teleport,Flash,8,6,7,18,52,225,3,2.5
듀얼아카데미입학,1,1419,Ekko,Teleport,Flash,8,1,8,15,43,160,2,16.0
듀얼아카데미입학,0,1435,Poppy,Teleport,Flash,2,5,5,14,35,149,2,1.4
듀얼아카데미입학,0,1546,Poppy,Teleport,Flash,2,5,1,14,19,181,2,0.6
듀얼아카데미입학,0,804,Yuumi,Ghost,Flash,3,4,6,9,90,16,0,2.2
듀얼아카데미입학,1,929,Vex,Ignite,Flash,9,4,9,14,40,53,0,4.5
듀얼아카데미입학,0,1272,Poppy,Teleport,Flash,2,6,1,11,27,107,0,0.5
듀얼아카데미입학,1,1250,Warwick,Barrier,Flash,8,2,4,13,31,133,0,6.0
듀얼아카데미입학,1,1638,Poppy,Teleport,Flash,6,5,9,16,41,116,2,3.0
듀얼아카데미입학,1,1609,Poppy,Teleport,Flash,5,1,7,15,30,135,5,12.0
듀얼아카데미입학,1,1445,Poppy,Teleport,Flash,3,0,10,14,43,143,0,15.6
듀얼아카데미입학,1,2004,Poppy,Teleport,Flash,2,5,13,16,60,154,1,3.0
듀얼아카데미입학,1,1395,Poppy,Teleport,Flash,3,2,9,13,36,111,1,6.0
듀얼아카데미입학,1,1478,Lucian,Ignite,Flash,31,5,3,18,74,173,0,6.8
듀얼아카데미입학,1,1179,Poppy,Teleport,Flash,2,3,6,12,31,116,0,2.7
듀얼아카데미입학,0,1571,Poppy,Teleport,Flash,6,6,5,14,48,130,1,1.8
듀얼아카데미입학,1,1587,Poppy,Teleport,Flash,6,3,8,15,39,136,0,4.7
듀얼아카데미입학,1,987,Poppy,Teleport,Flash,2,3,0,11,8,93,1,0.7
듀얼아카데미입학,0,919,Poppy,Teleport,Flash,0,5,1,9,13,80,1,0.2
Quad,0,1387,Ezreal,Exhaust,Flash,4,6,5,12,56,186,7,1.5
Quad,1,1509,Vex,Ignite,Flash,4,4,11,14,50,179,4,3.8
Quad,1,1368,Ahri,Teleport,Flash,1,0,15,15,52,163,8,19.2
Quad,1,1294,Ahri,Teleport,Flash,7,4,14,13,68,154,7,5.2
Quad,0,923,Jinx,Heal,Flash,0,4,1,9,13,105,1,0.2
Quad,0,1343,LeBlanc,Teleport,Flash,1,5,4,12,28,155,3,1.0
